datetime,energy_supplied_kwh,energy_billed_kwh
2014-10-11 22:59:47,238.46,235.18
2014-10-11 23:59:47,391.64,366.9
2014-10-12 00:59:46,518.86,500.06
2014-10-12 01:59:45,316.15,302.27
2014-10-12 02:59:45,606.16,578.82
2014-10-12 03:59:44,440.09,420.37
2014-10-12 04:59:44,508.92,504.64
2014-10-12 05:59:43,455.33,428.97
2014-10-12 06:59:43,800.0,751.98
2014-10-12 07:59:42,569.82,534.37
2014-10-12 08:59:42,361.78,342.33
2014-10-12 09:59:41,707.7,678.49
2014-10-12 10:59:41,314.39,308.55
2014-10-12 11:59:40,556.3,526.78
2014-10-12 12:59:40,200.0,190.86
2014-10-12 13:59:39,263.56,251.71
2014-10-12 14:59:38,493.46,467.34
2014-10-12 15:59:38,559.19,534.48
2014-10-12 16:59:37,460.4,443.36
2014-10-12 17:59:37,410.74,400.98
2014-10-12 18:59:36,381.49,364.36
2014-10-12 19:59:36,212.62,197.41
2014-10-12 20:59:35,328.57,320.31
2014-10-12 21:59:35,376.96,353.19
2014-10-12 22:59:34,628.73,592.35
2014-10-12 23:59:34,536.74,529.13
2014-10-13 00:59:33,200.28,189.07
2014-10-13 01:59:32,576.64,550.5
2014-10-13 02:59:32,467.13,446.81
2014-10-13 03:59:31,425.75,391.29
2014-10-13 04:59:31,682.44,640.17
2014-10-13 05:59:30,773.11,751.24
2014-10-13 06:59:30,757.07,714.28
2014-10-13 07:59:29,409.11,397.45
2014-10-13 08:59:29,505.56,490.77
2014-10-13 09:59:28,615.32,585.85
2014-10-13 10:59:28,715.78,668.45
2014-10-13 11:59:27,434.79,426.86
2014-10-13 12:59:27,468.44,451.61
2014-10-13 13:59:26,299.81,234.04
2014-10-13 14:59:25,274.4,266.7
2014-10-13 15:59:25,570.45,544.46
2014-10-13 16:59:24,635.66,610.61
2014-10-13 17:59:24,417.09,388.74
2014-10-13 18:59:23,570.01,541.09
2014-10-13 19:59:23,480.13,247.08
2014-10-13 20:59:22,339.62,329.45
2014-10-13 21:59:22,501.89,460.29
2014-10-13 22:59:21,704.36,673.62
2014-10-13 23:59:21,474.73,455.3
2014-10-14 00:59:20,765.99,724.64
2014-10-14 01:59:20,200.0,188.41
2014-10-14 02:59:19,687.7,674.08
2014-10-14 03:59:18,569.4,545.72
2014-10-14 04:59:18,507.52,494.48
2014-10-14 05:59:17,590.3,569.73
2014-10-14 06:59:17,200.0,186.42
2014-10-14 07:59:16,529.69,494.86
2014-10-14 08:59:16,633.55,463.42
2014-10-14 09:59:15,800.0,784.24
2014-10-14 10:59:15,442.79,421.38
2014-10-14 11:59:14,376.63,363.58
2014-10-14 12:59:14,414.7,388.63
2014-10-14 13:59:13,630.17,608.2
2014-10-14 14:59:13,514.2,498.72
2014-10-14 15:59:12,366.46,347.59
2014-10-14 16:59:11,510.97,476.82
2014-10-14 17:59:11,441.67,413.3
2014-10-14 18:59:10,564.97,526.33
2014-10-14 19:59:10,325.5,303.19
2014-10-14 20:59:09,386.58,263.63
2014-10-14 21:59:09,387.38,368.69
2014-10-14 22:59:08,232.36,223.76
2014-10-14 23:59:08,528.97,513.03
2014-10-15 00:59:07,544.38,508.18
2014-10-15 01:59:07,520.31,498.51
2014-10-15 02:59:06,494.63,480.47
2014-10-15 03:59:05,286.9,271.29
2014-10-15 04:59:05,484.15,474.98
2014-10-15 05:59:04,505.74,382.29
2014-10-15 06:59:04,418.15,397.7
2014-10-15 07:59:03,541.05,508.11
2014-10-15 08:59:03,642.56,617.47
