datetime,energy_supplied_kwh,energy_billed_kwh
2014-10-11 22:59:47,81.85,79.72
2014-10-11 23:59:47,90.37,85.96
2014-10-12 00:59:46,80.07,74.7
2014-10-12 01:59:45,43.52,40.66
2014-10-12 02:59:45,120.0,115.71
2014-10-12 03:59:44,98.65,90.03
2014-10-12 04:59:44,47.44,44.57
2014-10-12 05:59:43,54.81,50.44
2014-10-12 06:59:43,55.89,52.42
2014-10-12 07:59:42,25.5,22.93
2014-10-12 08:59:42,108.45,100.85
2014-10-12 09:59:41,108.63,106.96
2014-10-12 10:59:41,45.82,41.88
2014-10-12 11:59:40,39.49,37.01
2014-10-12 12:59:40,39.15,35.86
2014-10-12 13:59:39,42.83,39.53
2014-10-12 14:59:38,59.21,56.12
2014-10-12 15:59:38,61.67,58.38
2014-10-12 16:59:37,71.0,67.73
2014-10-12 17:59:37,62.79,61.29
2014-10-12 18:59:36,89.0,80.65
2014-10-12 19:59:36,48.9,45.92
2014-10-12 20:59:35,54.9,51.99
2014-10-12 21:59:35,39.59,37.86
2014-10-12 22:59:34,79.4,74.39
2014-10-12 23:59:34,44.4,41.16
2014-10-13 00:59:33,48.14,45.94
2014-10-13 01:59:32,55.91,38.03
2014-10-13 02:59:32,72.34,54.47
2014-10-13 03:59:31,43.59,40.3
2014-10-13 04:59:31,94.69,88.38
2014-10-13 05:59:30,115.64,106.87
2014-10-13 06:59:30,80.16,73.22
2014-10-13 07:59:29,41.29,39.23
2014-10-13 08:59:29,108.75,102.2
2014-10-13 09:59:28,53.84,51.19
2014-10-13 10:59:28,98.62,89.13
2014-10-13 11:59:27,51.89,45.76
2014-10-13 12:59:27,62.9,56.66
2014-10-13 13:59:26,89.76,88.49
2014-10-13 14:59:25,77.2,70.02
2014-10-13 15:59:25,73.44,69.39
2014-10-13 16:59:24,69.92,61.99
2014-10-13 17:59:24,42.26,41.51
2014-10-13 18:59:23,70.85,65.78
2014-10-13 19:59:23,57.5,55.17
2014-10-13 20:59:22,47.68,43.49
2014-10-13 21:59:22,47.0,42.87
2014-10-13 22:59:21,65.04,63.7
2014-10-13 23:59:21,72.34,67.12
2014-10-14 00:59:20,20.17,18.75
2014-10-14 01:59:20,48.88,45.07
2014-10-14 02:59:19,108.62,101.28
2014-10-14 03:59:18,80.69,75.83
2014-10-14 04:59:18,49.46,47.35
2014-10-14 05:59:17,88.98,81.08
2014-10-14 06:59:17,63.79,59.44
2014-10-14 07:59:16,62.5,55.96
2014-10-14 08:59:16,60.21,57.48
2014-10-14 09:59:15,104.44,100.72
2014-10-14 10:59:15,107.27,100.55
2014-10-14 11:59:14,43.69,38.92
2014-10-14 12:59:14,61.21,55.13
2014-10-14 13:59:13,24.2,22.75
2014-10-14 14:59:13,64.37,62.89
2014-10-14 15:59:12,50.67,45.97
2014-10-14 16:59:11,65.39,59.25
2014-10-14 17:59:11,20.0,18.65
2014-10-14 18:59:10,55.59,53.22
2014-10-14 19:59:10,64.13,59.09
2014-10-14 20:59:09,34.65,31.85
2014-10-14 21:59:09,88.06,80.99
2014-10-14 22:59:08,69.88,62.93
2014-10-14 23:59:08,112.74,109.57
2014-10-15 00:59:07,32.53,30.68
2014-10-15 01:59:07,33.38,31.9
2014-10-15 02:59:06,111.72,102.26
2014-10-15 03:59:05,83.3,76.74
2014-10-15 04:59:05,58.29,56.29
2014-10-15 05:59:04,71.64,65.08
2014-10-15 06:59:04,56.02,53.71
2014-10-15 07:59:03,89.35,83.38
2014-10-15 08:59:03,74.75,68.46
2014-10-15 09:59:02,60.19,57.68
2014-10-15 10:59:02,64.3,57.05
2014-10-15 11:59:01,87.75,81.74
2014-10-15 12:59:01,96.87,91.94
2014-10-15 13:59:00,67.25,63.0
2014-10-15 14:59:00,85.54,78.11
2014-10-15 15:58:59,71.03,68.99
2014-10-15 16:58:58,39.43,37.98
2014-10-15 17:58:58,76.86,72.64
2014-10-15 18:58:57,43.09,40.82
2014-10-15 19:58:57,117.06,112.18
2014-10-15 20:58:56,82.57,72.66
2014-10-15 21:58:56,38.75,35.67
2014-10-15 22:58:55,69.44,63.31
2014-10-15 23:58:55,76.79,70.86
2014-10-16 00:58:54,63.93,57.98
2014-10-16 01:58:54,120.0,111.54
2014-10-16 02:58:53,120.0,65.73
2014-10-16 03:58:53,72.13,68.39
2014-10-16 04:58:52,68.88,63.38
2014-10-16 05:58:51,88.19,82.19
2014-10-16 06:58:51,82.97,78.89
2014-10-16 07:58:50,76.13,68.91
2014-10-16 08:58:50,37.97,34.91
2014-10-16 09:58:49,87.83,80.74
2014-10-16 10:58:49,81.53,78.44
2014-10-16 11:58:48,84.62,82.95
2014-10-16 12:58:48,38.14,34.43
2014-10-16 13:58:47,20.0,17.94
2014-10-16 14:58:47,76.61,71.0
2014-10-16 15:58:46,53.77,51.52
2014-10-16 16:58:46,62.41,57.68
2014-10-16 17:58:45,65.44,58.27
2014-10-16 18:58:44,27.94,25.37
2014-10-16 19:58:44,52.42,47.26
2014-10-16 20:58:43,39.58,36.33
2014-10-16 21:58:43,52.82,49.15
2014-10-16 22:58:42,85.93,79.51
2014-10-16 23:58:42,107.34,100.27
2014-10-17 00:58:41,62.37,57.19
2014-10-17 01:58:41,72.29,66.67
2014-10-17 02:58:40,120.0,113.95
2014-10-17 03:58:40,80.26,74.12
2014-10-17 04:58:39,76.88,72.41
2014-10-17 05:58:38,59.82,53.61
2014-10-17 06:58:38,41.8,38.6
2014-10-17 07:58:37,84.99,81.09
2014-10-17 08:58:37,84.7,78.4
2014-10-17 09:58:36,81.51,77.12
2014-10-17 10:58:36,42.78,37.79
2014-10-17 11:58:35,120.0,110.19
2014-10-17 12:58:35,75.58,67.73
2014-10-17 13:58:34,52.15,48.25
2014-10-17 14:58:34,31.34,29.28
2014-10-17 15:58:33,77.64,76.02
2014-10-17 16:58:33,85.23,76.8
2014-10-17 17:58:32,45.96,42.01
2014-10-17 18:58:31,94.89,86.69
2014-10-17 19:58:31,70.98,62.79
2014-10-17 20:58:30,78.41,74.8
2014-10-17 21:58:30,48.64,45.22
2014-10-17 22:58:29,24.75,22.91
2014-10-17 23:58:29,57.66,54.29
2014-10-18 00:58:28,45.31,42.2
2014-10-18 01:58:28,103.49,96.66
2014-10-18 02:58:27,74.68,68.87
2014-10-18 03:58:27,31.43,30.62
2014-10-18 04:58:26,74.45,71.18
2014-10-18 05:58:26,96.48,88.14
2014-10-18 06:58:25,81.07,73.68
2014-10-18 07:58:24,74.55,67.36
2014-10-18 08:58:24,56.56,52.19
2014-10-18 09:58:23,67.33,65.12
2014-10-18 10:58:23,103.55,95.74
2014-10-18 11:58:22,36.74,32.33
2014-10-18 12:58:22,85.56,81.53
2014-10-18 13:58:21,79.92,73.39
2014-10-18 14:58:21,57.22,51.92
2014-10-18 15:58:20,69.97,62.79
2014-10-18 16:58:20,42.49,39.87
2014-10-18 17:58:19,76.03,70.76
2014-10-18 18:58:19,88.14,81.31
2014-10-18 19:58:18,69.41,64.53
2014-10-18 20:58:17,94.58,84.06
2014-10-18 21:58:17,42.59,39.99
2014-10-18 22:58:16,74.22,71.54
2014-10-18 23:58:16,51.93,48.04
2014-10-19 00:58:15,57.04,52.74
2014-10-19 01:58:15,98.16,92.08
2014-10-19 02:58:14,95.5,92.18
2014-10-19 03:58:14,62.69,57.34
2014-10-19 04:58:13,82.81,73.58
2014-10-19 05:58:13,49.03,47.47
2014-10-19 06:58:12,26.93,24.8
2014-10-19 07:58:11,60.48,57.4
2014-10-19 08:58:11,79.1,76.55
2014-10-19 09:58:10,44.04,40.06
2014-10-19 10:58:10,54.21,49.74
2014-10-19 11:58:09,77.44,73.69
2014-10-19 12:58:09,58.76,54.94
2014-10-19 13:58:08,49.1,47.59
2014-10-19 14:58:08,96.36,90.12
2014-10-19 15:58:07,61.75,56.19
2014-10-19 16:58:07,85.93,80.82
2014-10-19 17:58:06,53.65,50.79
2014-10-19 18:58:06,40.46,36.8
2014-10-19 19:58:05,42.4,38.29
2014-10-19 20:58:04,48.65,45.09
2014-10-19 21:58:04,95.58,89.23
2014-10-19 22:58:03,70.57,64.64
2014-10-19 23:58:03,90.04,80.61
2014-10-20 00:58:02,34.19,32.4
2014-10-20 01:58:02,83.31,79.41
2014-10-20 02:58:01,46.63,41.03
2014-10-20 03:58:01,42.5,40.04
2014-10-20 04:58:00,90.69,87.26
2014-10-20 05:58:00,104.44,99.79
2014-10-20 06:57:59,69.91,46.05
2014-10-20 07:57:59,81.71,74.0
2014-10-20 08:57:58,82.7,75.5
2014-10-20 09:57:57,81.43,75.69
2014-10-20 10:57:57,64.01,61.4
2014-10-20 11:57:56,67.27,64.7
2014-10-20 12:57:56,77.13,71.29
2014-10-20 13:57:55,76.5,70.4
2014-10-20 14:57:55,62.37,55.21
2014-10-20 15:57:54,94.85,91.59
2014-10-20 16:57:54,57.26,55.67
2014-10-20 17:57:53,62.8,56.77
2014-10-20 18:57:53,53.33,48.98
2014-10-20 19:57:52,48.19,44.31
2014-10-20 20:57:52,65.86,59.95
2014-10-20 21:57:51,40.13,37.38
2014-10-20 22:57:50,65.8,62.19
2014-10-20 23:57:50,26.11,24.76
2014-10-21 00:57:49,60.86,58.27
2014-10-21 01:57:49,58.64,51.9
2014-10-21 02:57:48,60.47,56.18
2014-10-21 03:57:48,79.8,74.24
2014-10-21 04:57:47,87.0,80.99
2014-10-21 05:57:47,78.32,72.97
2014-10-21 06:57:46,103.39,97.14
2014-10-21 07:57:46,65.16,59.4
2014-10-21 08:57:45,77.41,55.14
2014-10-21 09:57:44,65.93,61.69
2014-10-21 10:57:44,53.39,49.59
2014-10-21 11:57:43,59.22,55.06
2014-10-21 12:57:43,20.0,18.36
2014-10-21 13:57:42,45.49,43.24
2014-10-21 14:57:42,20.0,18.78
2014-10-21 15:57:41,94.65,88.02
2014-10-21 16:57:41,101.6,96.47
2014-10-21 17:57:40,31.01,29.79
2014-10-21 18:57:40,82.13,75.31
2014-10-21 19:57:39,64.78,61.75
2014-10-21 20:57:39,31.14,29.65
2014-10-21 21:57:38,62.89,57.05
2014-10-21 22:57:37,58.15,56.05
2014-10-21 23:57:37,100.74,89.69
2014-10-22 00:57:36,45.37,42.79
2014-10-22 01:57:36,69.77,63.01
2014-10-22 02:57:35,43.74,40.71
2014-10-22 03:57:35,64.55,60.11
2014-10-22 04:57:34,86.75,78.79
2014-10-22 05:57:34,120.0,107.95
2014-10-22 06:57:33,56.22,52.24
2014-10-22 07:57:33,72.77,66.3
2014-10-22 08:57:32,59.49,56.15
2014-10-22 09:57:32,104.92,95.93
2014-10-22 10:57:31,64.35,57.33
2014-10-22 11:57:30,20.54,18.71
2014-10-22 12:57:30,65.48,59.64
2014-10-22 13:57:29,46.81,44.22
2014-10-22 14:57:29,26.88,23.65
2014-10-22 15:57:28,37.8,36.73
2014-10-22 16:57:28,60.16,54.84
2014-10-22 17:57:27,49.13,47.13
2014-10-22 18:57:27,77.22,68.58
2014-10-22 19:57:26,74.42,70.6
2014-10-22 20:57:26,55.22,53.02
2014-10-22 21:57:25,50.52,47.58
2014-10-22 22:57:25,72.46,65.89
2014-10-22 23:57:24,20.0,18.01
2014-10-23 00:57:23,54.23,48.6
2014-10-23 01:57:23,73.09,68.82
2014-10-23 02:57:22,75.53,67.9
2014-10-23 03:57:22,104.69,96.31
2014-10-23 04:57:21,118.83,110.15
2014-10-23 05:57:21,40.12,36.29
2014-10-23 06:57:20,97.86,78.66
2014-10-23 07:57:20,92.24,85.36
2014-10-23 08:57:19,49.23,45.84
2014-10-23 09:57:19,97.36,90.91
2014-10-23 10:57:18,46.01,43.85
2014-10-23 11:57:17,97.75,86.02
2014-10-23 12:57:17,77.28,73.73
2014-10-23 13:57:16,45.63,42.46
2014-10-23 14:57:16,76.96,71.22
2014-10-23 15:57:15,32.99,30.26
2014-10-23 16:57:15,39.26,36.43
2014-10-23 17:57:14,49.97,47.16
2014-10-23 18:57:14,91.17,83.21
2014-10-23 19:57:13,20.0,17.73
2014-10-23 20:57:13,47.71,44.38
2014-10-23 21:57:12,47.21,43.98
2014-10-23 22:57:12,64.75,60.89
2014-10-23 23:57:11,59.85,55.35
2014-10-24 00:57:10,33.55,31.54
2014-10-24 01:57:10,73.52,68.1
2014-10-24 02:57:09,107.35,100.5
2014-10-24 03:57:09,76.4,70.21
2014-10-24 04:57:08,95.24,90.17
2014-10-24 05:57:08,102.4,96.81
2014-10-24 06:57:07,81.3,74.72
2014-10-24 07:57:07,70.42,62.8
2014-10-24 08:57:06,77.91,73.45
2014-10-24 09:57:06,66.21,63.96
