datetime,energy_supplied_kwh,energy_billed_kwh
2014-10-11 22:59:47,205.6,200.0
2014-10-11 23:59:47,171.38,166.74
2014-10-12 00:59:46,269.91,260.07
2014-10-12 01:59:45,145.87,141.02
2014-10-12 02:59:45,236.42,229.23
2014-10-12 03:59:44,80.0,77.61
2014-10-12 04:59:44,80.0,78.12
2014-10-12 05:59:43,119.38,115.58
2014-10-12 06:59:43,136.99,132.3
2014-10-12 07:59:42,252.22,239.77
2014-10-12 08:59:42,118.25,117.07
2014-10-12 09:59:41,200.79,196.64
2014-10-12 10:59:41,300.0,228.8
2014-10-12 11:59:40,177.85,172.64
2014-10-12 12:59:40,147.42,143.18
2014-10-12 13:59:39,184.31,177.23
2014-10-12 14:59:38,156.52,151.13
2014-10-12 15:59:38,205.15,201.65
2014-10-12 16:59:37,186.5,181.56
2014-10-12 17:59:37,149.3,148.02
2014-10-12 18:59:36,239.82,235.6
2014-10-12 19:59:36,160.72,159.15
2014-10-12 20:59:35,150.72,148.94
2014-10-12 21:59:35,212.94,204.28
2014-10-12 22:59:34,113.76,110.49
2014-10-12 23:59:34,223.42,213.46
2014-10-13 00:59:33,177.13,176.18
2014-10-13 01:59:32,137.43,131.75
2014-10-13 02:59:32,115.14,112.82
2014-10-13 03:59:31,300.0,290.53
2014-10-13 04:59:31,199.95,195.07
2014-10-13 05:59:30,237.45,232.32
2014-10-13 06:59:30,270.1,258.2
2014-10-13 07:59:29,226.22,220.87
2014-10-13 08:59:29,248.84,237.81
2014-10-13 09:59:28,240.74,234.39
2014-10-13 10:59:28,156.13,148.82
2014-10-13 11:59:27,135.34,131.16
2014-10-13 12:59:27,157.01,153.96
2014-10-13 13:59:26,268.46,263.22
2014-10-13 14:59:25,119.89,116.22
2014-10-13 15:59:25,156.03,150.06
2014-10-13 16:59:24,206.03,200.46
2014-10-13 17:59:24,180.91,176.5
2014-10-13 18:59:23,231.7,230.5
2014-10-13 19:59:23,138.4,135.88
2014-10-13 20:59:22,80.0,78.12
2014-10-13 21:59:22,113.41,110.89
2014-10-13 22:59:21,209.71,204.08
2014-10-13 23:59:21,244.52,236.0
2014-10-14 00:59:20,191.21,186.72
2014-10-14 01:59:20,135.1,130.36
2014-10-14 02:59:19,261.22,254.75
2014-10-14 03:59:18,154.93,151.92
2014-10-14 04:59:18,228.37,223.26
2014-10-14 05:59:17,271.55,266.98
2014-10-14 06:59:17,115.17,111.38
2014-10-14 07:59:16,176.8,172.54
2014-10-14 08:59:16,300.0,283.41
2014-10-14 09:59:15,153.71,146.81
2014-10-14 10:59:15,189.36,184.61
2014-10-14 11:59:14,80.0,76.73
2014-10-14 12:59:14,137.18,134.08
2014-10-14 13:59:13,169.45,162.77
2014-10-14 14:59:13,255.38,251.35
2014-10-14 15:59:12,176.27,169.74
2014-10-14 16:59:11,222.42,219.14
2014-10-14 17:59:11,143.25,142.32
2014-10-14 18:59:10,114.51,110.05
2014-10-14 19:59:10,155.47,151.72
2014-10-14 20:59:09,194.56,190.61
2014-10-14 21:59:09,208.55,203.96
2014-10-14 22:59:08,158.25,155.67
2014-10-14 23:59:08,194.51,187.84
2014-10-15 00:59:07,166.0,160.36
2014-10-15 01:59:07,159.08,154.63
2014-10-15 02:59:06,300.0,290.8
2014-10-15 03:59:05,200.63,193.08
2014-10-15 04:59:05,218.47,212.53
2014-10-15 05:59:04,152.11,147.6
2014-10-15 06:59:04,225.68,219.81
2014-10-15 07:59:03,163.5,161.13
2014-10-15 08:59:03,267.84,262.87
2014-10-15 09:59:02,260.52,252.05
2014-10-15 10:59:02,131.53,125.93
2014-10-15 11:59:01,214.96,205.59
2014-10-15 12:59:01,297.65,289.8
2014-10-15 13:59:00,191.71,174.23
2014-10-15 14:59:00,81.53,78.42
2014-10-15 15:58:59,80.0,78.77
2014-10-15 16:58:58,215.32,213.02
2014-10-15 17:58:58,184.03,177.34
2014-10-15 18:58:57,152.05,151.86
2014-10-15 19:58:57,252.25,247.92
2014-10-15 20:58:56,80.14,79.09
2014-10-15 21:58:56,80.0,77.61
2014-10-15 22:58:55,80.0,77.49
2014-10-15 23:58:55,124.0,121.24
2014-10-16 00:58:54,201.31,198.33
2014-10-16 01:58:54,190.15,183.44
2014-10-16 02:58:53,277.65,273.77
2014-10-16 03:58:53,186.29,181.48
2014-10-16 04:58:52,239.95,233.17
2014-10-16 05:58:51,80.0,78.29
2014-10-16 06:58:51,237.41,232.26
2014-10-16 07:58:50,128.9,104.49
2014-10-16 08:58:50,119.9,115.19
2014-10-16 09:58:49,260.6,252.5
2014-10-16 10:58:49,151.6,148.44
2014-10-16 11:58:48,207.25,203.38
2014-10-16 12:58:48,219.7,218.22
2014-10-16 13:58:47,231.01,223.3
2014-10-16 14:58:47,99.44,95.81
2014-10-16 15:58:46,132.31,128.65
2014-10-16 16:58:46,216.5,211.95
2014-10-16 17:58:45,153.96,149.91
2014-10-16 18:58:44,80.0,78.68
2014-10-16 19:58:44,200.96,200.76
2014-10-16 20:58:43,179.33,175.52
2014-10-16 21:58:43,140.16,135.31
2014-10-16 22:58:42,102.28,99.31
2014-10-16 23:58:42,172.53,167.8
2014-10-17 00:58:41,157.26,152.3
2014-10-17 01:58:41,88.01,86.08
2014-10-17 02:58:40,241.62,239.32
2014-10-17 03:58:40,140.04,135.14
2014-10-17 04:58:39,300.0,295.74
2014-10-17 05:58:38,185.96,185.67
2014-10-17 06:58:38,193.9,187.13
2014-10-17 07:58:37,288.94,281.92
2014-10-17 08:58:37,174.35,172.41
